_id,actor_id,last_update,product,quantity
61d4dcea0f6f8823f6b7fe8c,1,95,2001,1
61d4dcea0f6f8823f6b7fe8d,2,95,2001,28
61d4dcea0f6f8823f6b7fe8e,1,96,2001,1
61d4dcea0f6f8823f6b7fe8f,2,96,2001,27
61d4dcea0f6f8823f6b7fe90,1,97,2001,1
61d4dcea0f6f8823f6b7fe91,2,97,2001,26
61d4dcea0f6f8823f6b7fe92,1,98,2001,1
61d4dcea0f6f8823f6b7fe93,2,98,2001,25
61d4dcea0f6f8823f6b7fe94,1,99,2001,1
61d4dcea0f6f8823f6b7fe95,2,99,2001,24
61d4dcea0f6f8823f6b7fe96,1,100,2001,1
61d4dcea0f6f8823f6b7fe97,2,100,2001,23
61d4dcea0f6f8823f6b7fe98,1,101,2001,1
61d4dcea0f6f8823f6b7fe99,2,101,2001,22
61d4dcea0f6f8823f6b7fe9a,1,102,2001,1
61d4dcea0f6f8823f6b7fe9b,2,102,2001,21
61d4dcea0f6f8823f6b7fe9c,1,103,2001,1
61d4dcea0f6f8823f6b7fe9d,2,103,2001,20
61d4dcea0f6f8823f6b7fe9e,1,104,2001,1
61d4dceb0f6f8823f6b7fe9f,2,104,2001,19
61d4dceb0f6f8823f6b7fea0,1,105,2001,1
61d4dceb0f6f8823f6b7fea1,2,105,2001,18
61d4dceb0f6f8823f6b7fea2,1,106,2001,1
61d4dceb0f6f8823f6b7fea3,2,106,2001,17
