Criation_Time, Product, Quantity, Client, Order_id, Status, Notes-fornecedor
5315,3001,501430,2,3005285,0,3
5316,1001,10832,0,1005316,0,1
5316,2001,67930,1,2005259,0,2
5316,3001,501187,2,3005286,0,3
5317,1001,10950,0,1005317,0,1
5317,2001,67961,1,2005260,0,2
5317,3001,500952,2,3005287,0,3
5318,1001,10958,0,1005318,0,1
5318,2001,67974,1,2005261,0,2
5318,3001,500717,2,3005288,0,3
5319,1001,11000,0,1005319,0,1
5319,2001,68000,1,2005262,0,2
5319,3001,500481,2,3005289,0,3
5320,1001,10904,0,1005320,0,1
5320,2001,68013,1,2005263,0,2
5320,3001,500253,2,3005290,0,3
5321,1001,10910,0,1005321,0,1
5321,2001,68019,1,2005264,0,2
5321,3001,500032,2,3005291,0,3
5322,1001,10975,0,1005322,0,1
5322,2001,68038,1,2005265,0,2
5322,3001,499818,2,3005292,0,3
5323,1001,10991,0,1005323,0,1
5323,2001,68045,1,2005266,0,2
5323,3001,499611,2,3005293,0,3
5324,1001,11016,0,1005324,0,1
5324,2001,68071,1,2005267,0,2
5324,3001,499426,2,3005294,0,3
5325,1001,11136,0,1005325,0,1
5325,2001,68124,1,2005268,0,2
5325,3001,499264,2,3005295,0,3
5326,1001,11116,0,1005326,0,1
5326,2001,68176,1,2005269,0,2
5326,3001,499131,2,3005296,0,3
5327,1001,11174,0,1005327,0,1
5327,2001,68242,1,2005270,0,2
5327,3001,499035,2,3005297,0,3
5328,1001,11194,0,1005328,0,1
5328,2001,68320,1,2005271,0,2
5328,3001,498990,2,3005298,0,3
5329,1001,11250,0,1005329,0,1
5329,2001,68400,1,2005272,0,2
5329,3001,498990,2,3005299,0,3
5330,1001,11330,0,1005330,0,1
5330,2001,68518,1,2005273,0,2
5330,3001,499049,2,3005300,0,3
5331,1001,11285,0,1005331,0,1
5331,2001,68622,1,2005274,0,2
5331,3001,499153,2,3005301,0,3
5332,1001,11294,0,1005332,0,1
5332,2001,68713,1,2005275,0,2
5332,3001,499293,2,3005302,0,3
5333,1001,11375,0,1005333,0,1
