date;value
10-06-2003;1.1699
11-06-2003;1.1748
12-06-2003;1.1734
13-06-2003;1.1751
16-06-2003;1.1854
17-06-2003;1.1797
18-06-2003;1.1699
19-06-2003;1.1655
20-06-2003;1.1655
23-06-2003;1.1539
24-06-2003;1.1565
25-06-2003;1.1551
26-06-2003;1.1432
27-06-2003;1.1413
30-06-2003;1.1427
01-07-2003;1.1543
02-07-2003;1.1535
03-07-2003;1.1457
04-07-2003;1.1466
07-07-2003;1.136
08-07-2003;1.1326
09-07-2003;1.1355
10-07-2003;1.1342
11-07-2003;1.1315
14-07-2003;1.1299
15-07-2003;1.1319
16-07-2003;1.1138
17-07-2003;1.1231
18-07-2003;1.1205
21-07-2003;1.1284
22-07-2003;1.1343
23-07-2003;1.1401
24-07-2003;1.1467
25-07-2003;1.1477
28-07-2003;1.1489
29-07-2003;1.1462
30-07-2003;1.142
31-07-2003;1.1318
01-08-2003;1.1169
04-08-2003;1.1307
05-08-2003;1.1333
06-08-2003;1.1392
07-08-2003;1.1353
08-08-2003;1.1326
11-08-2003;1.1295
12-08-2003;1.1312
13-08-2003;1.1277
14-08-2003;1.127
15-08-2003;1.1247
18-08-2003;1.1188
19-08-2003;1.1065
20-08-2003;1.1109
21-08-2003;1.1009
22-08-2003;1.0894
25-08-2003;1.0888
26-08-2003;1.0816
27-08-2003;1.0907
28-08-2003;1.0828
29-08-2003;1.0927
01-09-2003;1.0965
02-09-2003;1.0849
03-09-2003;1.0783
04-09-2003;1.0818
05-09-2003;1.0923
08-09-2003;1.1071
09-09-2003;1.1135
10-09-2003;1.1172
11-09-2003;1.1217
12-09-2003;1.1172
15-09-2003;1.1281
16-09-2003;1.1235
17-09-2003;1.1212
18-09-2003;1.129
19-09-2003;1.1312
22-09-2003;1.1468
23-09-2003;1.1464
24-09-2003;1.1466
25-09-2003;1.1493
26-09-2003;1.1487
29-09-2003;1.1413
30-09-2003;1.1652
01-10-2003;1.1671
02-10-2003;1.1692
03-10-2003;1.1686
06-10-2003;1.1579
07-10-2003;1.1768
08-10-2003;1.1781
09-10-2003;1.1788
10-10-2003;1.1788
13-10-2003;1.1688
14-10-2003;1.1634
15-10-2003;1.1669
16-10-2003;1.1615
17-10-2003;1.1579
20-10-2003;1.1629
21-10-2003;1.1623
22-10-2003;1.1694
23-10-2003;1.1786
24-10-2003;1.1781
27-10-2003;1.1748
28-10-2003;1.1673
29-10-2003;1.1684
30-10-2003;1.1736
31-10-2003;1.1622
03-11-2003;1.1589
04-11-2003;1.1468
05-11-2003;1.1473
06-11-2003;1.1449
07-11-2003;1.1424
10-11-2003;1.1483
11-11-2003;1.1497
12-11-2003;1.16
13-11-2003;1.168
14-11-2003;1.1765
17-11-2003;1.1802
18-11-2003;1.1778
19-11-2003;1.191
20-11-2003;1.1909
21-11-2003;1.1899
24-11-2003;1.1823
25-11-2003;1.1766
26-11-2003;1.1828
27-11-2003;1.1902
28-11-2003;1.1994
01-12-2003;1.2019
02-12-2003;1.1975
03-12-2003;1.2102
04-12-2003;1.2074
05-12-2003;1.2087
08-12-2003;1.2218
09-12-2003;1.2258
10-12-2003;1.2239
11-12-2003;1.2187
12-12-2003;1.2254
15-12-2003;1.223
16-12-2003;1.2339
17-12-2003;1.2337
18-12-2003;1.2403
19-12-2003;1.2418
22-12-2003;1.2434
23-12-2003;1.2392
24-12-2003;1.2407
25-12-2003;0
26-12-2003;0
29-12-2003;1.2499
30-12-2003;1.2496
31-12-2003;1.263
01-01-2004;0
02-01-2004;1.2592
05-01-2004;1.2657
06-01-2004;1.2756
07-01-2004;1.2679
08-01-2004;1.2634
09-01-2004;1.2737
12-01-2004;1.2828
13-01-2004;1.2749
14-01-2004;1.2692
15-01-2004;1.2635
16-01-2004;1.2493
19-01-2004;1.2373
20-01-2004;1.2536
21-01-2004;1.2607
22-01-2004;1.271
23-01-2004;1.2692
26-01-2004;1.2575
27-01-2004;1.2517
28-01-2004;1.2563
29-01-2004;1.2468
30-01-2004;1.2384
02-02-2004;1.2461
03-02-2004;1.2585
04-02-2004;1.2524
05-02-2004;1.2583
06-02-2004;1.2529
09-02-2004;1.2713
10-02-2004;1.2764
11-02-2004;1.268
12-02-2004;1.2802
13-02-2004;1.2816
16-02-2004;1.2741
17-02-2004;1.2858
18-02-2004;1.2824
19-02-2004;1.2724
20-02-2004;1.2663
23-02-2004;1.2576
24-02-2004;1.2595
25-02-2004;1.2629
26-02-2004;1.2444
27-02-2004;1.2418
01-03-2004;1.2484
02-03-2004;1.2402
03-03-2004;1.2143
04-03-2004;1.2147
05-03-2004;1.2192
08-03-2004;1.2356
09-03-2004;1.2361
10-03-2004;1.2299
11-03-2004;1.2256
12-03-2004;1.2235
15-03-2004;1.2278
16-03-2004;1.235
17-03-2004;1.2251
18-03-2004;1.2261
19-03-2004;1.2344
22-03-2004;1.2353
23-03-2004;1.2276
24-03-2004;1.2196
25-03-2004;1.2132
26-03-2004;1.2173
29-03-2004;1.2118
30-03-2004;1.2187
31-03-2004;1.2224
01-04-2004;1.232
02-04-2004;1.2318
05-04-2004;1.2058
06-04-2004;1.209
07-04-2004;1.2101
08-04-2004;1.2096
09-04-2004;0
12-04-2004;0
13-04-2004;1.1975
14-04-2004;1.1924
15-04-2004;1.1912
16-04-2004;1.1932
19-04-2004;1.2044
20-04-2004;1.1926
21-04-2004;1.1836
22-04-2004;1.1873
23-04-2004;1.1885
26-04-2004;1.1851
27-04-2004;1.1887
28-04-2004;1.1907
29-04-2004;1.1826
30-04-2004;1.1947
03-05-2004;1.1953
04-05-2004;1.2061
05-05-2004;1.2126
06-05-2004;1.2116
07-05-2004;1.2073
10-05-2004;1.1843
11-05-2004;1.1804
12-05-2004;1.1857
13-05-2004;1.1823
14-05-2004;1.1802
17-05-2004;1.2023
18-05-2004;1.1983
19-05-2004;1.1989
20-05-2004;1.1922
21-05-2004;1.2031
24-05-2004;1.1968
25-05-2004;1.2063
26-05-2004;1.2106
27-05-2004;1.2165
28-05-2004;1.2246
31-05-2004;1.2198
01-06-2004;1.2231
02-06-2004;1.2276
03-06-2004;1.2226
04-06-2004;1.2203
07-06-2004;1.2319
08-06-2004;1.2294
09-06-2004;1.2157
10-06-2004;1.2052
11-06-2004;1.2006
14-06-2004;1.2001
15-06-2004;1.2051
16-06-2004;1.2058
17-06-2004;1.2045
18-06-2004;1.2042
21-06-2004;1.2112
22-06-2004;1.2091
23-06-2004;1.2087
24-06-2004;1.2122
25-06-2004;1.2138
28-06-2004;1.2208
29-06-2004;1.2169
30-06-2004;1.2155
01-07-2004;1.2168
02-07-2004;1.2148
05-07-2004;1.2288
06-07-2004;1.2309
07-07-2004;1.2357
08-07-2004;1.2348
09-07-2004;1.2372
